"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"ABN Amro Holding";"S12L";2017;2013;2;0.229603633360859;0.229603633360859;1
"Acuity Brands Inc";"S2L";2020;2019;6;0.863184100536174;0.863184100536174;0.158501412825887
"Acuity Brands Inc";"S2L";2022;2019;6;0.863184100536174;0.863184100536174;0.158501412825887
"Adecco Group AG";"S1";2022;2012;12;0.471628586766627;0.471628586766627;1
"adidas AG";"S12M";2020;2015;37;0.853883853191564;0.853883853191564;0.171119463451964
"Adler Pelzer Group";"S12L";2019;2017;14;4.46379525593009;0.463795255930091;0.103901552230458
"Adobe, Inc.";"S12M";2025;2015;4;0.831140905641285;0.831140905641285;0.203165423831989
"Adobe, Inc.";"S12M";2035;2015;4;0.831140905641285;0.831140905641285;0.203165423831989
"ADVA Optical Networking SE";"S2L";2032;2016;11;0.876923076923077;0.876923076923077;0.140350877192983
"Advanced Micro Devices, Inc";"S12L";2020;2014;7;0.87843219114294;0.87843219114294;0.138391796296635
"ALLPROFESSIONAL MFG. CO., LTD.";"S12M3";2030;2018;1;0.537248640287411;0.537248640287411;0.861335562366489
"ALPLA";"S12L3";2022;2018;46;0.576395640114142;0.576395640114142;0.734919437978353
"Amadeus IT Group, S.A.";"S12M";2020;2015;8;0.90588510725469;0.90588510725469;0.103892747536746
"Amadeus IT Group, S.A.";"S12M";2030;2015;8;0.90588510725469;0.90588510725469;0.103892747536746
"Amgen, Inc.";"S12L";2020;2012;55;0.857091223586209;0.857091223586209;0.16673694990813
"Apple Inc.";"S12M";2020;2012;5;0.810480919503848;0.810480919503848;0.233835338914789
"Apple Inc.";"S12M";2036;2012;5;0.810480919503848;0.810480919503848;0.233835338914789
"Apple Inc.";"S12M3";2030;2015;5;0.810480919503848;0.810480919503848;0.233835338914789
"ARÇELIK A.S.";"S12L";2020;2010;3;0.299469392930734;0.299469392930734;1
"ARÇELIK A.S.";"S12L";2025;2010;3;0.299469392930734;0.299469392930734;1
"ARÇELIK A.S.";"S12L";2040;2010;3;0.299469392930734;0.299469392930734;1
"Avaya";"S12L";2020;2014;19;0.755075299819035;0.755075299819035;0.324371225280001
"Aviva plc";"S12L3";2019;2018;18;0.904912152512538;0.904912152512538;0.105079644718491
"Aviva plc";"S12L3";2030;2010;18;0.904912152512538;0.904912152512538;0.105079644718491
"Avon Products, Inc.";"S12L";2020;2005;6;0.452505320177985;0.452505320177985;1
"AXA Group";"S1";2025;2018;41;0.827303975642178;0.827303975642178;0.208745551142518
"Baker Hughes Company";"S12M";2020;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Baker Hughes Company";"S12M";2030;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Baker Hughes Company";"S12M";2050;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Bank of Nova Scotia (Scotiabank)";"S12L";2021;2016;41;0.662081416517475;0.662081416517475;0.510388262005547
"Bank of Nova Scotia (Scotiabank)";"S12L";2025;2016;41;0.662081416517475;0.662081416517475;0.510388262005547
"Barrick Gold Corporation";"S12M";2030;2018;12;0.496915511846222;0.496915511846222;1
"Bertelsmann";"S12M";2020;2014;11;0.888308189101081;0.888308189101081;0.12573542861509
"Bertelsmann";"S12M";2025;2014;11;0.888308189101081;0.888308189101081;0.12573542861509
"Bertelsmann";"S12M3";2030;2018;11;0.888308189101081;0.888308189101081;0.12573542861509
"BlackRock";"S12L";2020;2014;34;0.871475411563524;0.871475411563524;0.147479305475628
"Bouygues";"S12L3";2030;2015;10;0.658795205201138;0.658795205201138;0.517922401537043
"Broadridge Financial Solutions Inc";"S12L";2025;2019;15;0.109507291783223;0.109507291783223;1
